,Topic,Count,Name,Representation,Representative_Docs
10,9,9,9_wearable_clothing_fabrics_smartphone,"['wearable', 'clothing', 'fabrics', 'smartphone', 'liquid', 'smart', 'tech', 'micro', 'affordable', 'adaptive']","['US govt. invests $22 million in smart surveillance clothing | The active smart textiles can record audio, video and geolocation data.', ""Adobe's latest wearable tech promises dynamic clothing that can change at the push of a button"", 'Shape-shifting fiber can produce morphing fabrics. The low-cost FibeRobo, which is compatible with existing textile manufacturing techniques, could be used in adaptive performance wear or compression garments.']"
11,10,9,10_non_non toxic_developed_developed new,"['non', 'non toxic', 'developed', 'developed new', 'electronics', 'toxic', 'sensors', 'quantum', 'new', 'getting']","['See-Through Sensors Hide Eye-Tracking in Plain Sight | Graphene and quantum dots turn electronics transparent', ""New Ukrainian nanotech 'cloak' can hide people from drones | An unnamed Ukrainian scientist has allegedly developed a new material that can mask heat signatures of troops and gear from Russian drones."", 'Non-toxic materials open door for better cameras on consumer electronics | Researchers from ICFO and Qurv have developed a new type of quantum dots that are non-toxic and phosphine-free and can achieve high performance in the SWIR range.']"
12,11,9,11_3d_printing_3d printing_printed,"['3d', 'printing', '3d printing', 'printed', '3d printed', 'tissue', 'brain', 'skin', 'blades', 'researchers']","['New laser enabled 3D-printing method makes steel more affordable | The process enables ""structural modifications to be ‘programmed’ into metal alloys during 3D printing.""', '3D Printing Technique Shows Promise for Brain Injury Repair | A breakthrough technique using 3D printing could one day provide tailored repairs for those who suffer brain injuries.', ""First functional human brain tissue produced through 3D printing | A team of researchers has created functional 3D-printed brain tissue to examine the brain's function and study various neurological disorders.""]"
13,12,9,12_cell_diabetes_injections_type diabetes,"['cell', 'diabetes', 'injections', 'type diabetes', 'home', 'daily', 'cells', 'device', 'type', 'implant']","[""In a breakthrough, diabetics’ damaged cells regenerated to produce insulin | The discovery could mean that, one day, diabetics won't need to take multiple daily insulin injections."", 'Scientists develop a low-cost device to make cell therapy safer | A plastic microfluidic chip can remove some risky cells that could potentially become tumors before they are implanted in a patient.', 'MIT device could free those with type 1 diabetes from insulin injections and pumps | A living medical device made from human cells with its own life-support system']"
14,13,9,13_drugs_body_lower_filled,"['drugs', 'body', 'lower', 'filled', 'patch', 'blood', 'push', 'deliver', 'inspired', 'ultrasound']","['New Synthetic Horseshoe Crab Blood Could Mean Pharma Won’t Bleed the Species Dry. The “living fossils” have been vital for testing intravenous drugs, but a few large pharmaceutical companies are using a lab-made compound instead.', 'This octopus-inspired patch could deliver drugs like Ozempic through your cheek | Small rubber suction cups filled with medication were better than tablets at delivering compounds into the bloodstream.', 'New Patch Inspired by Octopus Suckers Could Deliver Drugs Without Needles. Medicine-filled suction cups attached to the inside of the cheek could be an effective alternative to oral tablets or injections, study finds.']"
15,14,8,14_jet_class_72_targets,"['jet', 'class', '72', 'targets', 'ice', 'china', 'fastest', 'field', 'air', 'developed']","[""China's latest non-nuclear submarine, the Type-039C Yuan Class, features a distinctive angled sail. We can now be confident that this is part of a sonar stealth technology. Other countries are also pursuing this general technique, but China is the first to field it."", 'WaveAerospace has announced ""the world\'s fastest multirotor UAS,"" a ""new class of aircraft"" | A quadcopter drone with a 300+ mph jet turbine in the middle, capable of all-weather operation.', 'SR-72: US secret hypersonic jet to allegedly break sound barrier in 2025 | Believed to be a top-secret project of the US Air Force, the SR-72 is touted to reach over 4,000 mph (6,437 kph), making it the fastest plane ever developed.']"
16,15,6,15_heat_cooling_material_energy,"['heat', 'cooling', 'material', 'energy', 'developing', 'exposure', 'extreme', 'temperatures', '50', 'effective']","['This startup has engineered a clever way to reuse waste heat from cloud computing. Heata is now using these busy servers to heat water for homes.', 'Korean researchers develop heat-resistant material that withstands 1000°C/1832°F | Not just high temperatures, the material also works well under extreme UV exposure making it ideal for applications in space too.', ""UK’s unique heat-capturing glass tubes are keeping US fishermen warm | Heating and cooling needs account for 50 percent of energy demand and using the Sun's heat directly is an effective to curb fossil fuel requirements.""]"
17,16,6,16_heart_human_transplant_soon,"['heart', 'human', 'transplant', 'soon', 'artificial', 'potential', 'world', 'species', 'number', 'embryo']","['University of Maryland Medical Center performs second pig-to-human heart transplant', 'Artificial wombs for premature babies might soon begin human trials. An FDA panel discussed the new technology—tested only on animals so far—along with its risks and potential to improve survival of preterm infants.', ""World's first partial heart transplant grows valves and arteries | This method can 'potentially double the number of hearts that are used for the benefit of children with heart disease.'""]"
18,17,6,17_ray_10_laser_bright,"['ray', '10', 'laser', 'bright', 'ultrafast', 'waves', 'photons', 'crystals', 'atomic', 'sound waves']","['A new method of producing an ultra-bright light which breaks traditional laws of particle physics could potentially spark a technological revolution. The ultra-bright light, a form of ‘coherent light’, is created by particles moving in synchrony rather than independently.', 'SLAC fires up the world’s most powerful X-ray laser. With up to a million X-ray flashes per second, 8,000x more than its predecessor, it transforms the ability of scientists to explore atomic-scale, ultrafast phenomena that are key to a broad range of applications.', 'Revolutionary X-ray microscope unveils sound waves deep within crystals. Scientists developed a groundbreaking technology that allows them to see sound waves and microscopic defects inside crystals, promising insights that connect ultrafast atomic motion to large-scale macroscopic behaviors.']"
19,18,5,18_space_deep space_deep_laser,"['space', 'deep space', 'deep', 'laser', 'nasa', 'terminal', 'small', '24', 'modular', 'agency']","['A light sail that could one day propel small spacecraft through interstellar realms is headed to the International Space Station and will be tested by astronauts on behalf of Cornell’s Space Systems Design Studio.', 'NASA’s Space Station Laser Comm Terminal Achieves First Link - NASA', 'Deep Space Station 13 at NASA’s Goldstone complex in California – part of the agency’s Deep Space Network – is an experimental antenna that has been retrofitted with an optical terminal. In a first, this proof of concept received both radio frequency & laser signals from deep space at the same time.']"
